Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk2,Team2,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%2,TOV%2,DRB%,FT/FGA2,Arena,Attend,Attend./G
1,Indiana Pacers*,82,19730,39.8,86.8,.459,7.6,19.4,.392,32.2,67.3,.478,21.3,26.2,.811,11.0,34.1,45.1,24.3,7.3,5.5,15.1,23.3,6,Indiana Pacers*,30.4,56,26,54,28,4.60,-0.45,4.15,108.5,103.6,+4.9,93.1,.302,.224,.552,,.503,13.3,24.9,.245,,.469,12.6,71.5,.197,,Conseco Fieldhouse,752,145,,
21,New York Knicks*,82,19830,39.3,86.5,.455,4.8,12.7,.375,34.6,73.8,.468,19.1,24.5,.781,10.9,34.2,45.1,21.6,7.0,4.7,16.3,26.9,11,New York Knicks*,29.5,50,32,46,36,1.46,-0.16,1.30,102.5,100.9,+1.6,89.2,.283,.147,.527,,.482,14.4,24.7,.221,,.455,13.6,73.1,.251,,Madison Square Garden (IV),810,103,,
3,Portland Trail Blazers*,82,19780,40.8,86.8,.470,5.5,15.2,.361,35.3,71.6,.493,20.8,27.4,.760,13.0,34.6,47.6,26.0,8.5,5.3,16.8,25.2,2,Portland Trail Blazers*,29.6,59,23,59,23,6.40,-0.04,6.36,107.9,100.8,+7.1,89.9,.316,.175,.546,,.501,14.5,30.3,.240,,.461,13.8,72.4,.217,,Rose Garden Arena,835,078,,
25,Philadelphia 76ers*,82,19830,39.1,88.5,.442,2.7,8.4,.323,36.4,80.1,.454,20.6,29.1,.708,15.0,32.2,47.2,23.7,10.3,5.0,16.8,25.3,13,Philadelphia 76ers*,27.1,49,33,45,37,1.34,-0.32,1.02,101.5,100.0,+1.5,92.7,.329,.095,.501,,.457,14.2,31.4,.233,,.466,16.2,69.9,.229,,First Union Center,756,956,,
17,Miami Heat*,82,19830,40.1,87.2,.460,6.0,16.2,.371,34.1,71.0,.481,18.2,24.7,.736,12.4,35.3,47.8,26.1,7.9,7.1,16.6,26.3,7,Miami Heat*,29.2,52,30,50,32,3.11,-0.36,2.75,104.5,101.0,+3.5,89.7,.283,.186,.533,,.495,14.5,28.2,.208,,.453,13.3,72.9,.229,,AmericanAirlines Arena,706,725,,
16,Phoenix Suns*,82,19805,39.9,87.3,.457,5.9,16.1,.368,34.0,71.2,.477,18.9,24.9,.759,13.2,33.0,46.1,27.0,9.6,5.6,17.6,25.4,4,Phoenix Suns*,28.6,53,29,56,26,5.22,0.02,5.24,104.6,99.0,+5.6,94.0,.286,.184,.532,,.491,15.2,29.3,.217,,.454,15.7,70.5,.245,,America West Arena,773,115,,
4,Utah Jazz*,82,19755,40.1,86.5,.464,4.5,11.6,.385,35.7,74.9,.476,22.5,29.1,.773,12.7,32.9,45.6,27.7,8.5,6.0,16.5,27.3,5,Utah Jazz*,31.5,55,27,54,28,4.46,0.05,4.52,107.3,102.3,+5.0,89.6,.337,.134,.540,,.490,14.3,29.5,.260,,.477,15.0,73.2,.256,,Delta Center,801,268,,
2,Milwaukee Bucks*,82,19855,41.4,89.0,.465,5.1,13.9,.369,36.2,75.0,.483,20.3,25.8,.786,13.2,30.9,44.2,24.1,8.7,5.0,16.0,26.3,16,Milwaukee Bucks*,28.2,42,40,42,40,0.22,-0.28,-0.06,108.2,107.9,+0.3,92.7,.290,.157,.539,,.494,13.8,30.0,.228,,.496,14.6,69.6,.254,,Bradley Center,628,605,,
5,Detroit Pistons*,82,19830,38.5,83.9,.459,5.6,15.5,.359,33.0,68.5,.481,24.7,31.7,.781,11.6,31.1,42.7,21.6,8.4,3.5,16.3,25.4,12,Detroit Pistons*,28.3,42,40,45,37,1.44,-0.31,1.13,107.3,105.8,+1.5,95.7,.378,.184,.548,,.492,14.3,26.8,.295,,.499,15.4,71.6,.249,,The Palace of Auburn Hills,678,470,,
15,Toronto Raptors*,82,19755,39.2,90.4,.433,5.6,15.4,.363,33.6,75.0,.447,20.8,27.2,.765,14.4,32.2,46.6,25.6,8.8,7.1,14.9,26.1,17,Toronto Raptors*,29.3,45,37,41,41,-0.16,-0.30,-0.46,104.7,104.9,-0.2,92.5,.300,.170,.511,,.464,12.7,30.1,.230,,.480,14.2,71.8,.247,,Air Canada Centre,756,496,,
18,Charlotte Hornets*,82,19780,37.9,84.4,.449,4.4,12.9,.339,33.5,71.5,.469,24.1,31.8,.758,11.4,34.0,45.5,26.1,9.5,6.2,15.6,21.6,9,Charlotte Hornets*,28.7,49,33,49,33,2.67,-0.34,2.33,104.3,101.4,+2.9,93.9,.376,.153,.530,,.475,13.7,25.7,.285,,.478,14.6,73.2,.198,,Charlotte Coliseum,732,827,,
12,Sacramento Kings*,82,19805,40.0,89.0,.450,6.5,20.2,.322,33.5,68.7,.487,18.6,24.6,.754,12.9,32.2,45.0,23.8,9.6,4.7,16.2,21.1,8,Sacramento Kings*,27.5,44,38,49,33,2.91,0.12,3.04,105.0,102.1,+2.9,99.3,.277,.227,.526,,.486,13.9,27.7,.209,,.479,15.1,69.7,.198,,ARCO Arena (II),720,033,,
11,San Antonio Spurs*,82,19855,39.3,85.2,.462,4.4,11.7,.374,34.9,73.4,.476,22.0,29.5,.746,12.3,35.5,47.9,24.2,8.2,7.3,16.4,22.9,3,San Antonio Spurs*,30.9,53,29,58,24,5.94,-0.02,5.92,105.0,98.6,+6.4,90.8,.346,.138,.535,,.488,14.3,27.8,.258,,.451,13.5,73.0,.188,,Alamodome,884,450,,
8,Minnesota Timberwolves*,82,19905,42.4,90.8,.467,3.3,9.4,.346,39.1,81.4,.481,18.1,23.2,.780,13.3,32.5,45.8,29.0,8.2,5.8,15.0,25.1,10,Minnesota Timberwolves*,26.6,50,32,48,34,2.52,0.14,2.67,106.1,103.4,+2.7,91.8,.256,.104,.525,,.485,12.9,29.4,.200,,.474,14.0,73.0,.250,,Target Center,690,012,,
9,Seattle SuperSonics*,82,19780,40.4,90.3,.447,7.1,20.9,.339,33.3,69.3,.480,17.7,25.5,.695,13.5,32.3,45.8,24.4,8.5,4.5,15.0,23.1,14,Seattle SuperSonics*,28.5,45,37,44,38,0.95,0.22,1.17,105.6,104.6,+1.0,93.4,.282,.232,.520,,.487,12.9,28.5,.196,,.483,14.0,69.6,.193,,KeyArena at Seattle Center,615,730,,
