Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk2,Team2,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%2,TOV%2,DRB%,FT/FGA2,Arena,Attend,Attend./G
13,Philadelphia 76ers*,82,19855,38.7,86.6,.447,3.5,10.7,.326,35.2,75.8,.464,22.6,30.4,.745,14.3,34.7,49.0,22.6,9.2,5.4,17.2,22.3,4,Philadelphia 76ers*,28.2,56,26,54,28,4.28,-0.65,3.64,103.6,98.9,+4.7,90.6,.351,.124,.518,,.468,14.7,31.2,.262,,.460,14.5,72.5,.186,,First Union Center,805,692,19,651,
1,Milwaukee Bucks*,82,19780,41.0,89.5,.458,7.4,19.5,.379,33.6,70.0,.480,19.4,24.7,.787,12.8,32.9,45.8,24.3,8.8,5.1,14.8,25.4,7,Milwaukee Bucks*,28.2,52,30,52,30,3.88,-0.74,3.14,108.8,104.6,+4.2,92.1,.276,.218,.542,,.499,12.8,28.1,.217,,.473,14.4,71.1,.253,,Bradley Center,683,125,16,662,
6,San Antonio Spurs*,82,19830,39.0,84.6,.461,6.0,14.8,.407,33.0,69.8,.472,22.6,31.6,.715,12.2,36.6,48.8,24.0,7.7,7.8,15.5,21.0,1,San Antonio Spurs*,29.5,58,24,63,19,7.76,0.16,7.92,106.6,98.0,+8.6,89.6,.374,.175,.541,,.496,13.6,27.1,.267,,.444,12.9,73.7,.182,,Alamodome,913,176,22,273,
16,Charlotte Hornets*,82,19880,37.8,87.8,.431,4.6,13.3,.346,33.2,74.5,.446,21.6,29.0,.745,13.9,35.2,49.2,25.7,9.0,6.1,16.0,23.7,13,Charlotte Hornets*,28.2,46,36,48,34,2.10,-0.65,1.45,101.8,99.5,+2.3,89.4,.330,.151,.506,,.457,13.7,29.8,.246,,.456,14.1,74.5,.222,,Charlotte Coliseum,615,424,15,010,
8,Toronto Raptors*,82,19955,40.3,92.2,.437,5.7,15.4,.369,34.6,76.8,.451,19.6,26.2,.747,14.8,33.4,48.2,26.5,7.9,6.9,14.3,23.1,11,Toronto Raptors*,29.9,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,+2.5,90.9,.285,.167,.510,,.468,12.1,30.8,.213,,.476,13.3,73.2,.212,,Air Canada Centre,793,256,19,348,
9,Sacramento Kings*,82,20080,39.7,88.2,.449,6.1,17.1,.354,33.6,71.1,.472,20.3,26.3,.771,12.5,34.2,46.7,23.4,10.0,5.5,15.5,20.2,2,Sacramento Kings*,27.1,55,27,57,25,5.82,0.25,6.07,105.6,99.6,+6.0,94.4,.298,.194,.529,,.484,13.4,27.2,.230,,.460,14.5,70.7,.181,,ARCO Arena (II),709,997,17,317,
4,Dallas Mavericks*,82,19805,40.1,87.3,.459,6.7,17.6,.381,33.4,69.7,.479,20.2,25.4,.794,10.8,33.4,44.2,22.6,8.0,6.4,14.8,24.8,6,Dallas Mavericks*,26.6,53,29,53,29,4.28,0.32,4.61,107.1,102.6,+4.5,93.2,.291,.202,.544,,.498,13.1,24.1,.231,,.467,14.2,70.7,.244,,Reunion Arena,680,238,16,591,
20,Miami Heat*,82,19880,37.4,86.8,.430,6.6,19.2,.345,30.7,67.6,.455,19.7,26.0,.759,11.3,33.8,45.0,22.6,8.8,4.2,15.6,23.9,10,Miami Heat*,30.9,50,32,48,34,2.29,-0.57,1.73,101.1,98.5,+2.6,87.1,.299,.221,.515,,.469,13.7,24.3,.227,,.460,15.3,72.7,.214,,AmericanAirlines Arena,678,186,16,541,
14,Orlando Magic*,82,19955,38.9,88.7,.438,6.3,17.4,.364,32.6,71.4,.456,19.1,26.7,.714,13.8,31.6,45.4,23.3,8.7,6.2,16.1,26.7,16,Orlando Magic*,26.0,43,39,44,38,0.99,-0.60,0.39,103.2,102.1,+1.1,93.2,.301,.196,.513,,.474,13.8,29.1,.215,,.464,15.6,69.8,.290,,TD Waterhouse Centre,605,031,14,757,
15,Indiana Pacers*,82,19980,38.0,86.4,.440,5.3,15.6,.342,32.7,70.8,.461,20.7,27.0,.766,12.4,34.9,47.2,23.7,7.6,6.5,16.7,25.9,18,Indiana Pacers*,27.7,41,41,40,42,-0.20,-0.57,-0.77,102.0,102.2,-0.2,89.4,.312,.180,.519,,.471,14.5,27.0,.239,,.452,12.8,71.4,.235,,Conseco Fieldhouse,731,800,17,849,
19,New York Knicks*,82,19905,38.3,86.2,.444,5.4,15.5,.351,32.9,70.7,.465,19.1,24.0,.796,10.8,35.1,45.9,21.1,7.6,4.8,16.5,25.9,9,New York Knicks*,29.8,48,34,50,32,2.63,-0.65,1.98,101.2,98.2,+3.0,86.7,.279,.180,.523,,.476,14.6,24.2,.222,,.453,14.7,74.3,.240,,Madison Square Garden (IV),810,283,19,763,
3,Utah Jazz*,82,19780,40.0,85.0,.471,4.4,11.5,.381,35.6,73.5,.485,23.2,30.8,.752,12.7,32.2,45.0,28.5,8.9,6.3,17.5,28.5,3,Utah Jazz*,32.0,53,29,55,27,4.70,0.31,5.00,107.6,102.4,+5.2,89.8,.363,.135,.546,,.497,15.1,30.2,.273,,.473,15.6,73.2,.301,,Delta Center,792,196,19,322,
7,Portland Trail Blazers*,82,19780,40.9,87.3,.468,5.0,14.4,.349,35.9,73.0,.492,19.7,25.8,.762,13.1,33.8,46.8,26.7,9.1,5.7,17.1,23.8,5,Portland Trail Blazers*,30.1,50,32,53,29,4.20,0.33,4.52,106.5,101.8,+4.7,89.1,.296,.165,.539,,.497,14.8,30.0,.225,,.470,14.3,72.4,.223,,Rose Garden Arena,831,376,20,277,
